comparison	jaccard_index
amyco vs. amyco	0.9473684210526315
amyco vs. amyco	1.0
amyco vs. amyco	0.9339622641509434
amyco vs. amyco	0.7066115702479339
amyco vs. amyco	0.5349794238683128
amyco vs. amyco	0.8783783783783784
amyco vs. amyco	1.0
amyco vs. amyco	0.9950980392156863
amyco vs. amyco	0.9473684210526315
amyco vs. amyco	0.9854368932038835
amyco vs. amyco	0.7024793388429752
amyco vs. amyco	0.5308641975308642
amyco vs. amyco	0.8571428571428571
amyco vs. amyco	0.9473684210526315
amyco vs. amyco	0.9425837320574163
amyco vs. amyco	0.9339622641509434
amyco vs. amyco	0.7066115702479339
amyco vs. amyco	0.5349794238683128
amyco vs. amyco	0.8783783783783784
amyco vs. amyco	1.0
amyco vs. amyco	0.9950980392156863
amyco vs. amyco	0.6938775510204082
amyco vs. amyco	0.524390243902439
amyco vs. amyco	0.8458149779735683
amyco vs. amyco	0.9339622641509434
amyco vs. amyco	0.9292452830188679
amyco vs. amyco	0.8
amyco vs. amyco	0.6746031746031746
amyco vs. amyco	0.7066115702479339
amyco vs. amyco	0.7095435684647303
amyco vs. amyco	0.5098814229249012
amyco vs. amyco	0.5349794238683128
amyco vs. amyco	0.5371900826446281
amyco vs. amyco	0.8783783783783784
amyco vs. amyco	0.8738738738738738
amyco vs. amyco	0.9950980392156863
amyco vs. micro	0.3789954337899543
amyco vs. micro	0.5304347826086957
amyco vs. micro	0.5660377358490566
amyco vs. micro	0.35874439461883406
amyco vs. micro	0.5598290598290598
amyco vs. micro	0.547085201793722
amyco vs. micro	0.47085201793721976
amyco vs. micro	0.47368421052631576
amyco vs. micro	0.273972602739726
amyco vs. micro	0.4826086956521739
amyco vs. micro	0.4590909090909091
amyco vs. micro	0.5660377358490566
amyco vs. micro	0.35874439461883406
amyco vs. micro	0.5598290598290598
amyco vs. micro	0.547085201793722
amyco vs. micro	0.3623853211009174
amyco vs. micro	0.5676855895196506
amyco vs. micro	0.555045871559633
amyco vs. micro	0.5598290598290598
amyco vs. micro	0.547085201793722
amyco vs. micro	0.5648148148148148
micro vs. micro	0.6865671641791045
micro vs. micro	0.7692307692307693
micro vs. micro	0.6410256410256411
micro vs. micro	0.656934306569343
micro vs. micro	0.6420454545454546
micro vs. micro	0.8053691275167785
micro vs. micro	0.6078431372549019
micro vs. micro	0.5167785234899329
micro vs. micro	0.8584905660377359
micro vs. micro	0.5146198830409356
micro vs. micro	0.6258503401360545
micro vs. micro	0.7358490566037735
micro vs. micro	0.5732484076433121
micro vs. micro	0.7657142857142857
micro vs. micro	0.9395973154362416
micro vs. micro	0.48366013071895425
micro vs. micro	0.7202380952380952
micro vs. micro	0.7697368421052632
micro vs. micro	0.4857142857142857
micro vs. micro	0.5894039735099338
micro vs. micro	0.7558139534883721
